Encryption Time (μs),Decryption Time (μs),Message Size (B),Ciphertext Size (B),Overhead (B)
57,43,100,116,16
42,43,100,116,16
43,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
42,44,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,56,100,116,16
42,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
45,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
55,42,100,116,16
42,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,55,100,116,16
42,42,100,116,16
41,42,100,116,16
45,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,55,100,116,16
42,42,100,116,16
41,42,100,116,16
49,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,55,100,116,16
42,42,100,116,16
41,46,100,116,16
42,60,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,55,100,116,16
42,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
45,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
55,42,100,116,16
42,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,55,100,116,16
42,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,51,100,116,16
42,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
59,42,100,116,16
42,42,100,116,16
41,42,100,116,16
42,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
55,42,100,116,16
42,42,100,116,16
41,42,100,116,16
47,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
45,53,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,55,100,116,16
42,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
58,42,100,116,16
42,42,100,116,16
41,42,100,116,16
41,55,100,116,16
42,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
41,42,100,116,16
