Encryption Time (μs),Decryption Time (μs),Message Size (B),Ciphertext Size (B),Overhead (B)
37,16,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
35,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,14,10240,10256,16
14,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,40,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
19,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
31,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
23,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,9,10240,10256,16
9,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,9,10240,10256,16
9,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
21,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,9,10240,10256,16
8,9,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
8,8,10240,10256,16
