Encryption Time (μs),Decryption Time (μs),Message Size (B),Ciphertext Size (B),Overhead (B)
99,57,10240,10256,16
50,49,10240,10256,16
49,52,10240,10256,16
50,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,52,10240,10256,16
49,49,10240,10256,16
63,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
58,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,52,10240,10256,16
49,49,10240,10256,16
62,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,55,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
52,70,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
62,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,52,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
62,49,10240,10256,16
49,49,10240,10256,16
54,53,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
70,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
63,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
63,50,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
51,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
62,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,56,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
62,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,54,10240,10256,16
49,65,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,52,10240,10256,16
49,49,10240,10256,16
62,49,10240,10256,16
49,49,10240,10256,16
54,93,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
52,49,10240,10256,16
49,62,10240,10256,16
50,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,58,10240,10256,16
49,49,10240,10256,16
62,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
62,49,10240,10256,16
49,49,10240,10256,16
49,54,10240,10256,16
51,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
51,51,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
76,50,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
60,49,10240,10256,16
52,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,52,10240,10256,16
162,50,10240,10256,16
85,49,10240,10256,16
49,49,10240,10256,16
49,65,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
64,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,52,10240,10256,16
49,49,10240,10256,16
64,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,52,10240,10256,16
57,56,10240,10256,16
57,54,10240,10256,16
50,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,74,10240,10256,16
50,49,10240,10256,16
49,51,10240,10256,16
51,49,10240,10256,16
49,65,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
63,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
49,49,10240,10256,16
