Encryption Time (μs),Decryption Time (μs),Message Size (B),Ciphertext Size (B),Overhead (B)
12,2,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,17,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
1,1,1024,1040,16
