Encryption Time (μs),Decryption Time (μs),Message Size (B),Ciphertext Size (B),Overhead (B)
59,44,1024,1040,16
60,43,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,45,1024,1040,16
48,45,1024,1040,16
42,58,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
44,44,1024,1040,16
42,111,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
46,51,1024,1040,16
114,46,1024,1040,16
45,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
58,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
46,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
52,56,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
46,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,46,1024,1040,16
42,42,1024,1040,16
42,55,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,55,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,55,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
46,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
74,43,1024,1040,16
55,42,1024,1040,16
42,42,1024,1040,16
54,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,47,1024,1040,16
92,43,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
43,46,1024,1040,16
45,45,1024,1040,16
44,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
57,43,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,46,1024,1040,16
47,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
45,45,1024,1040,16
49,47,1024,1040,16
47,43,1024,1040,16
42,58,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
44,44,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,55,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
51,43,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,55,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,46,1024,1040,16
42,42,1024,1040,16
42,55,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,51,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,46,1024,1040,16
87,43,1024,1040,16
43,42,1024,1040,16
44,44,1024,1040,16
42,42,1024,1040,16
56,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
44,44,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
55,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
51,43,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
43,45,1024,1040,16
42,42,1024,1040,16
42,55,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
44,44,1024,1040,16
42,42,1024,1040,16
46,63,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,56,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
48,51,1024,1040,16
47,44,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,60,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,48,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
62,43,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
47,73,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,46,1024,1040,16
42,42,1024,1040,16
54,45,1024,1040,16
46,46,1024,1040,16
222,46,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,43,1024,1040,16
42,42,1024,1040,16
42,46,1024,1040,16
66,43,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,44,1024,1040,16
46,45,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
70,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
94,96,1024,1040,16
76,75,1024,1040,16
75,75,1024,1040,16
79,95,1024,1040,16
70,69,1024,1040,16
69,69,1024,1040,16
69,69,1024,1040,16
69,69,1024,1040,16
69,69,1024,1040,16
69,50,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,56,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
44,44,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,52,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,43,1024,1040,16
46,42,1024,1040,16
42,56,1024,1040,16
43,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
47,119,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,56,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
52,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,55,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,44,1024,1040,16
44,42,1024,1040,16
55,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,56,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,55,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,48,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
67,43,1024,1040,16
43,47,1024,1040,16
42,53,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,56,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
43,43,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
42,42,1024,1040,16
